State,Last_Update,Confirmed
Alabama,2020-04-12,3667
Alaska,2020-04-12,272
Arizona,2020-04-12,3542
Arkansas,2020-04-12,1280
California,2020-04-12,22795
Colorado,2020-04-12,7307
Connecticut,2020-04-12,12035
Delaware,2020-04-12,1625
Diamond Princess,2020-04-12,49
District of Columbia,2020-04-12,1875
Florida,2020-04-12,19895
Georgia,2020-04-12,12452
Grand Princess,2020-04-12,103
Guam,2020-04-12,133
Hawaii,2020-04-12,499
Idaho,2020-04-12,1407
Illinois,2020-04-12,20852
Indiana,2020-04-12,7928
Iowa,2020-04-12,1587
Kansas,2020-04-12,1344
Kentucky,2020-04-12,1963
Louisiana,2020-04-12,20595
Maine,2020-04-12,633
Maryland,2020-04-12,8225
Massachusetts,2020-04-12,25475
Michigan,2020-04-12,24244
Minnesota,2020-04-12,1621
Mississippi,2020-04-12,2781
Missouri,2020-04-12,4269
Montana,2020-04-12,387
Nebraska,2020-04-12,791
Nevada,2020-04-12,2836
New Hampshire,2020-04-12,929
New Jersey,2020-04-12,61850
New Mexico,2020-04-12,1245
New York,2020-04-12,189033
North Carolina,2020-04-12,4570
North Dakota,2020-04-12,308
Ohio,2020-04-12,6604
Oklahoma,2020-04-12,1970
Oregon,2020-04-12,1527
Pennsylvania,2020-04-12,22938
Puerto Rico,2020-04-12,897
Rhode Island,2020-04-12,2665
South Carolina,2020-04-12,3320
South Dakota,2020-04-12,730
Tennessee,2020-04-12,5508
Texas,2020-04-12,13691
Utah,2020-04-12,2303
Vermont,2020-04-12,727
Virginia,2020-04-12,5274
Washington,2020-04-12,10609
West Virginia,2020-04-12,593
Wisconsin,2020-04-12,3341
Wyoming,2020-04-12,270
American Samoa,,0
Northern Mariana Islands,2020-04-12,11
Recovered,,0
Virgin Islands,,51
Province_State,Last_Update,Confirmed
Alabama,2020-04-13,3870
Alaska,2020-04-13,277
American Samoa,,0
Arizona,2020-04-13,3705
Arkansas,2020-04-13,1410
California,2020-04-13,23931
Colorado,2020-04-13,7691
Connecticut,2020-04-13,13381
Delaware,2020-04-13,1758
Diamond Princess,2020-04-13,49
District of Columbia,2020-04-13,1955
Florida,2020-04-14,21019
Georgia,2020-04-13,13315
Grand Princess,2020-04-13,103
Guam,2020-04-13,133
Hawaii,2020-04-13,504
Idaho,2020-04-13,1426
Illinois,2020-04-13,22025
Indiana,2020-04-13,8359
Iowa,2020-04-13,1710
Kansas,2020-04-13,1390
Kentucky,2020-04-13,2018
Louisiana,2020-04-13,21016
Maine,2020-04-13,698
Maryland,2020-04-13,8936
Massachusetts,2020-04-13,26867
Michigan,2020-04-13,25635
Minnesota,2020-04-13,1621
Mississippi,2020-04-13,2942
Missouri,2020-04-13,4515
Montana,2020-04-13,394
Nebraska,2020-04-13,814
Nevada,2020-04-13,2990
New Hampshire,2020-04-13,985
New Jersey,2020-04-13,64584
New Mexico,2020-04-13,1262
New York,2020-04-13,195749
North Carolina,2020-04-13,4886
North Dakota,2020-04-13,331
Northern Mariana Islands,2020-04-13,11
Ohio,2020-04-13,6975
Oklahoma,2020-04-13,2069
Oregon,2020-04-13,1584
Pennsylvania,2020-04-13,24292
Puerto Rico,2020-04-13,903
Rhode Island,2020-04-13,2665
South Carolina,2020-04-13,3391
South Dakota,2020-04-13,868
Tennessee,2020-04-13,5610
Texas,2020-04-13,14275
Utah,2020-04-13,2363
Vermont,2020-04-13,748
Virgin Islands,2020-04-13,51
Virginia,2020-04-13,5747
Washington,2020-04-13,10635
West Virginia,2020-04-13,611
Wisconsin,2020-04-13,3428
Wyoming,2020-04-13,275
Recovered,,0
Province_State,Last_Update,Confirmed
Alabama,2020-04-14,4041
Alaska,2020-04-14,285
American Samoa,,0
Arizona,2020-04-14,3809
Arkansas,2020-04-14,1498
California,2020-04-14,25356
Colorado,2020-04-14,7950
Connecticut,2020-04-14,13989
Delaware,2020-04-14,1926
Diamond Princess,2020-04-14,49
District of Columbia,2020-04-14,2058
Florida,2020-04-14,21628
Georgia,2020-04-14,14578
Grand Princess,2020-04-14,103
Guam,2020-04-14,133
Hawaii,2020-04-14,511
Idaho,2020-04-14,1464
Illinois,2020-04-14,23248
Indiana,2020-04-14,8527
Iowa,2020-04-14,1899
Kansas,2020-04-14,1441
Kentucky,2020-04-14,2048
Louisiana,2020-04-14,21518
Maine,2020-04-14,735
Maryland,2020-04-14,9472
Massachusetts,2020-04-14,28164
Michigan,2020-04-14,27001
Minnesota,2020-04-14,1695
Mississippi,2020-04-14,3087
Missouri,2020-04-14,4746
Montana,2020-04-14,399
Nebraska,2020-04-14,897
Nevada,2020-04-14,3134
New Hampshire,2020-04-14,922
New Jersey,2020-04-14,68824
New Mexico,2020-04-14,1345
New York,2020-04-14,203020
North Carolina,2020-04-14,5113
North Dakota,2020-04-14,341
Northern Mariana Islands,2020-04-14,11
Ohio,2020-04-14,7285
